customer_id,Recency,Frequency,Monetary,Cluster
3,35,69,48.29,Loyal Customers
8,77,8,29.68,Casual Customers
9,64,8,47.11,Loyal Customers
11,146,1,69.48,Lost Customers
15,207,9,45.4,Loyal Customers
17,672,2,49.31,Lost Customers
18,72,32,42.25,Loyal Customers
20,15,80,40.68,Loyal Customers
21,361,1,15.22,Casual Customers
24,47,18,35.58,Loyal Customers
26,628,2,62.69,Lost Customers
27,182,6,35.3,Casual Customers
28,22,44,38.36,Loyal Customers
32,90,17,44.69,Loyal Customers
36,917,4,38.73,Casual Customers
40,854,1,12.06,Casual Customers
41,860,13,43.57,Lost Customers
45,18,10,42.67,Loyal Customers
46,185,10,42.53,Loyal Customers
47,83,30,36.51,Loyal Customers
48,158,21,39.51,Loyal Customers
50,706,7,35.17,Casual Customers
57,35,53,44.69,Loyal Customers
61,114,12,43.84,Loyal Customers
65,580,2,43.95,Lost Customers
67,244,9,51.52,Lost Customers
68,122,10,39.75,Loyal Customers
71,52,22,41.13,Loyal Customers
75,1128,2,36.75,Casual Customers
76,24,58,45.67,Loyal Customers
79,97,2,45.22,Lost Customers
81,397,3,47.59,Lost Customers
83,689,2,39.88,Casual Customers
87,34,30,39.56,Loyal Customers
88,10,49,45.77,Loyal Customers
89,81,41,43.74,Loyal Customers
90,280,12,36.39,Casual Customers
91,408,4,39.93,Casual Customers
92,89,27,39.94,Loyal Customers
93,37,15,45.0,Loyal Customers
95,63,15,43.41,Loyal Customers
98,66,210,40.78,Loyal Customers
100,1088,2,23.82,Casual Customers
102,4,3,42.44,Loyal Customers
104,62,17,36.36,Loyal Customers
107,3,64,41.18,Loyal Customers
108,259,6,56.23,Lost Customers
109,60,37,46.03,Loyal Customers
110,222,9,50.36,Lost Customers
111,48,17,35.01,Loyal Customers
114,15,2,42.72,Loyal Customers
115,37,2,37.35,Casual Customers
116,93,8,49.62,Loyal Customers
117,31,10,40.24,Loyal Customers
118,56,21,40.62,Loyal Customers
119,38,17,42.47,Loyal Customers
120,54,1,26.55,Casual Customers
121,1,53,39.6,Loyal Customers
122,21,27,37.51,Loyal Customers
123,249,8,50.92,Lost Customers
125,183,2,38.39,Casual Customers
126,45,89,44.92,Loyal Customers
127,148,4,22.72,Casual Customers
131,210,3,25.01,Casual Customers
133,447,2,49.99,Lost Customers
134,271,3,48.03,Lost Customers
136,57,7,53.83,Loyal Customers
139,0,15,52.97,Loyal Customers
141,606,6,44.52,Lost Customers
142,10,79,47.73,Loyal Customers
145,33,46,42.15,Loyal Customers
147,22,16,43.14,Loyal Customers
149,98,25,50.27,Loyal Customers
150,110,4,42.8,Loyal Customers
151,466,2,40.49,Casual Customers
152,66,16,36.79,Loyal Customers
153,86,2,11.65,Casual Customers
154,157,3,33.64,Casual Customers
155,9,94,38.93,Loyal Customers
156,22,16,49.71,Loyal Customers
158,4,5,42.11,Loyal Customers
159,1445,2,53.29,Lost Customers
160,10,5,37.43,Loyal Customers
161,37,68,47.28,Loyal Customers
163,165,3,35.35,Casual Customers
165,1619,1,25.2,Casual Customers
168,37,72,40.76,Loyal Customers
169,293,12,47.55,Lost Customers
170,125,12,49.6,Loyal Customers
171,130,13,42.69,Loyal Customers
173,1,159,44.55,Loyal Customers
177,15,82,41.19,Loyal Customers
179,55,58,45.25,Loyal Customers
181,1028,1,19.47,Casual Customers
182,73,39,33.36,Loyal Customers
183,50,22,39.19,Loyal Customers
184,156,19,43.83,Loyal Customers
185,57,40,35.67,Loyal Customers
187,133,2,37.46,Casual Customers
191,329,3,45.14,Lost Customers
194,399,1,48.62,Lost Customers
195,525,1,54.38,Lost Customers
197,72,34,43.13,Loyal Customers
198,11,36,35.81,Loyal Customers
199,8,183,41.48,Loyal Customers
202,47,42,43.25,Loyal Customers
203,102,2,35.03,Casual Customers
204,9,21,43.3,Loyal Customers
206,394,3,55.02,Lost Customers
207,195,1,25.5,Casual Customers
210,1984,1,58.75,Lost Customers
211,71,52,39.09,Loyal Customers
213,79,25,40.79,Loyal Customers
214,5,75,43.34,Loyal Customers
215,68,47,38.77,Loyal Customers
216,1258,1,78.63,Lost Customers
217,64,26,42.87,Loyal Customers
218,28,102,42.34,Loyal Customers
219,422,4,25.64,Casual Customers
221,184,13,54.66,Lost Customers
222,62,16,47.12,Loyal Customers
224,82,29,40.06,Loyal Customers
225,19,13,38.68,Loyal Customers
226,313,5,37.46,Casual Customers
229,79,26,40.87,Loyal Customers
230,602,15,36.99,Casual Customers
231,21,18,33.81,Loyal Customers
233,746,2,42.24,Casual Customers
234,4,62,43.16,Loyal Customers
235,345,3,17.24,Casual Customers
236,163,17,45.46,Loyal Customers
238,31,59,42.17,Loyal Customers
239,144,7,55.85,Lost Customers
241,38,38,39.76,Loyal Customers
243,44,60,45.24,Loyal Customers
244,434,1,9.17,Casual Customers
245,53,4,48.14,Loyal Customers
247,145,6,31.25,Casual Customers
249,981,2,30.57,Casual Customers
255,118,16,35.85,Loyal Customers
256,128,3,39.96,Casual Customers
257,391,1,45.48,Lost Customers
259,221,23,40.19,Loyal Customers
262,492,4,31.06,Casual Customers
263,148,14,45.29,Loyal Customers
265,199,7,32.19,Casual Customers
267,23,8,39.55,Loyal Customers
268,11,184,41.36,Loyal Customers
270,672,10,39.51,Casual Customers
273,46,122,41.3,Loyal Customers
274,529,4,62.82,Lost Customers
278,160,5,25.1,Casual Customers
280,1,10,41.48,Loyal Customers
281,132,4,39.43,Casual Customers
284,244,15,30.32,Casual Customers
288,952,3,22.43,Casual Customers
289,563,3,65.41,Lost Customers
293,7,84,39.39,Loyal Customers
295,1,187,41.28,Loyal Customers
300,359,7,40.76,Casual Customers
302,119,14,47.67,Loyal Customers
305,2023,1,67.13,Lost Customers
306,53,7,36.0,Loyal Customers
307,5,284,41.99,Loyal Customers
308,163,8,28.4,Casual Customers
312,148,20,49.06,Loyal Customers
313,65,8,35.62,Loyal Customers
314,15,15,44.34,Loyal Customers
316,25,138,41.69,Loyal Customers
317,59,14,42.07,Loyal Customers
320,30,11,41.47,Loyal Customers
321,523,2,65.3,Lost Customers
322,123,7,37.72,Loyal Customers
325,109,4,53.13,Lost Customers
330,70,172,41.79,Loyal Customers
332,27,74,42.48,Loyal Customers
333,21,103,43.98,Loyal Customers
336,110,20,49.98,Loyal Customers
337,518,1,16.99,Casual Customers
338,200,8,56.79,Lost Customers
339,50,11,50.5,Loyal Customers
342,785,1,24.14,Casual Customers
344,326,3,57.7,Lost Customers
345,42,47,43.37,Loyal Customers
346,1104,5,45.05,Lost Customers
347,74,5,29.1,Casual Customers
350,372,1,6.12,Casual Customers
357,410,1,64.54,Lost Customers
358,574,1,50.44,Lost Customers
360,64,18,44.63,Loyal Customers
361,125,9,50.77,Loyal Customers
362,113,21,40.74,Loyal Customers
363,0,67,43.22,Loyal Customers
364,65,59,43.0,Loyal Customers
365,44,29,41.54,Loyal Customers
366,51,16,40.39,Loyal Customers
368,211,2,26.08,Casual Customers
369,359,1,79.37,Lost Customers
373,132,4,40.08,Casual Customers
375,130,5,38.97,Casual Customers
377,4,78,44.45,Loyal Customers
379,39,17,25.24,Loyal Customers
382,88,39,45.73,Loyal Customers
384,50,43,42.43,Loyal Customers
386,367,5,53.16,Lost Customers
391,41,4,55.19,Lost Customers
392,455,4,29.55,Casual Customers
396,68,33,44.47,Loyal Customers
399,1447,1,67.88,Lost Customers
401,1681,1,70.24,Lost Customers
403,73,12,45.78,Loyal Customers
404,32,24,39.38,Loyal Customers
406,431,6,46.43,Lost Customers
407,226,1,36.64,Casual Customers
408,593,1,56.02,Lost Customers
409,12,15,41.89,Loyal Customers
415,2,46,39.32,Loyal Customers
420,156,19,38.73,Loyal Customers
421,85,7,55.41,Lost Customers
423,226,1,25.17,Casual Customers
424,11,134,44.24,Loyal Customers
426,1346,1,61.13,Lost Customers
427,46,61,39.28,Loyal Customers
429,58,45,39.41,Loyal Customers
430,117,17,44.88,Loyal Customers
432,42,116,45.97,Loyal Customers
434,67,5,43.67,Loyal Customers
435,115,17,44.18,Loyal Customers
436,26,22,46.55,Loyal Customers
438,197,6,41.12,Casual Customers
439,128,1,35.56,Casual Customers
441,122,14,43.63,Loyal Customers
444,27,7,42.34,Loyal Customers
445,314,2,26.84,Casual Customers
446,1,8,37.88,Loyal Customers
447,21,72,41.02,Loyal Customers
449,126,1,71.3,Lost Customers
451,141,4,40.48,Casual Customers
460,155,1,64.09,Lost Customers
462,36,4,45.96,Loyal Customers
463,800,1,56.5,Lost Customers
465,546,3,21.27,Casual Customers
469,270,7,31.12,Casual Customers
473,129,5,41.64,Loyal Customers
474,88,6,40.54,Loyal Customers
475,111,9,45.49,Loyal Customers
476,65,5,56.25,Lost Customers
479,91,2,47.12,Lost Customers
480,979,1,25.69,Casual Customers
483,482,4,35.86,Casual Customers
487,49,14,38.95,Loyal Customers
488,44,23,43.39,Loyal Customers
490,51,15,36.71,Loyal Customers
491,512,2,71.64,Lost Customers
494,17,97,41.25,Loyal Customers
495,123,5,40.16,Casual Customers
496,12,150,43.56,Loyal Customers
497,105,4,51.85,Lost Customers
509,47,183,44.61,Loyal Customers
511,19,24,41.53,Loyal Customers
513,49,34,44.37,Loyal Customers
515,22,98,43.87,Loyal Customers
516,18,112,43.2,Loyal Customers
519,7,1,27.54,Casual Customers
521,3,40,42.37,Loyal Customers
525,29,20,45.91,Loyal Customers
526,377,2,37.12,Casual Customers
527,20,11,59.79,Loyal Customers
528,28,77,42.75,Loyal Customers
530,42,14,41.6,Loyal Customers
535,65,61,39.18,Loyal Customers
536,57,27,47.76,Loyal Customers
537,317,1,52.71,Lost Customers
539,13,3,27.76,Loyal Customers
540,58,18,44.19,Loyal Customers
543,440,1,27.28,Casual Customers
544,6,99,45.79,Loyal Customers
548,595,6,39.51,Casual Customers
550,165,11,42.4,Loyal Customers
551,127,7,57.17,Lost Customers
552,313,1,77.63,Lost Customers
553,528,2,27.84,Casual Customers
558,687,1,65.64,Lost Customers
559,57,2,65.83,Lost Customers
563,90,19,49.6,Loyal Customers
564,75,8,38.65,Loyal Customers
565,0,4,28.77,Loyal Customers
566,17,72,39.28,Loyal Customers
569,19,158,40.53,Loyal Customers
570,76,41,43.78,Loyal Customers
572,65,11,58.51,Loyal Customers
574,37,12,35.65,Loyal Customers
575,116,18,42.69,Loyal Customers
579,104,25,48.8,Loyal Customers
582,80,26,38.31,Loyal Customers
583,207,10,44.4,Loyal Customers
585,505,4,37.47,Casual Customers
588,12,38,41.72,Loyal Customers
591,133,8,39.24,Loyal Customers
592,345,6,44.07,Lost Customers
593,15,92,44.3,Loyal Customers
595,51,16,34.25,Loyal Customers
600,1469,2,55.5,Lost Customers
601,131,2,20.65,Casual Customers
602,46,9,33.27,Loyal Customers
603,568,1,7.12,Casual Customers
604,762,2,11.3,Casual Customers
607,329,6,26.23,Casual Customers
609,226,6,40.45,Casual Customers
610,351,1,71.04,Lost Customers
611,385,1,44.82,Lost Customers
612,105,9,48.26,Loyal Customers
614,24,24,50.21,Loyal Customers
615,22,6,36.28,Loyal Customers
618,237,3,46.76,Lost Customers
619,201,10,44.23,Loyal Customers
620,441,1,79.21,Lost Customers
623,65,11,42.23,Loyal Customers
624,1112,1,71.46,Lost Customers
625,1266,1,71.41,Lost Customers
626,136,6,45.84,Lost Customers
627,328,8,35.05,Casual Customers
628,141,12,36.53,Loyal Customers
631,913,3,50.84,Lost Customers
632,599,12,48.46,Lost Customers
635,14,25,41.7,Loyal Customers
636,9,152,43.64,Loyal Customers
637,205,4,38.0,Casual Customers
638,1056,3,20.16,Casual Customers
640,48,54,44.25,Loyal Customers
642,202,6,44.35,Lost Customers
643,526,1,35.97,Casual Customers
644,18,19,50.51,Loyal Customers
646,815,6,55.88,Lost Customers
650,258,19,40.82,Loyal Customers
651,1043,8,45.55,Lost Customers
653,16,42,39.65,Loyal Customers
654,140,1,75.2,Lost Customers
657,7,147,43.66,Loyal Customers
659,64,15,42.88,Loyal Customers
661,401,10,43.46,Lost Customers
665,1069,2,19.66,Casual Customers
666,108,21,50.92,Loyal Customers
670,284,3,44.19,Lost Customers
672,172,6,30.28,Casual Customers
675,196,11,45.51,Loyal Customers
678,72,3,40.31,Casual Customers
679,206,6,30.64,Casual Customers
681,124,37,48.37,Loyal Customers
687,994,1,26.28,Casual Customers
688,32,11,38.74,Loyal Customers
689,706,3,37.75,Casual Customers
690,55,35,43.42,Loyal Customers
693,66,50,41.49,Loyal Customers
694,128,16,53.18,Loyal Customers
696,63,15,40.85,Loyal Customers
698,1511,1,73.33,Lost Customers
699,0,1,63.29,Loyal Customers
702,54,58,43.35,Loyal Customers
703,1834,1,25.99,Casual Customers
704,144,8,51.0,Lost Customers
711,35,7,34.24,Loyal Customers
713,119,9,40.36,Loyal Customers
715,235,4,57.29,Lost Customers
718,13,9,40.84,Loyal Customers
720,1840,6,39.07,Casual Customers
722,294,8,57.65,Lost Customers
723,821,3,42.4,Casual Customers
729,17,137,46.49,Loyal Customers
730,1266,1,41.51,Casual Customers
731,738,3,37.02,Casual Customers
732,502,4,58.89,Lost Customers
736,20,4,42.74,Loyal Customers
737,22,9,37.41,Loyal Customers
738,9,25,45.04,Loyal Customers
740,434,3,35.98,Casual Customers
741,1934,1,22.53,Casual Customers
742,518,7,46.94,Lost Customers
745,138,9,45.0,Loyal Customers
748,68,17,43.0,Loyal Customers
749,107,10,48.09,Loyal Customers
750,61,59,39.66,Loyal Customers
752,126,9,54.52,Lost Customers
753,85,24,36.42,Loyal Customers
755,33,35,48.38,Loyal Customers
759,1874,3,57.88,Lost Customers
762,72,13,36.7,Loyal Customers
764,201,20,38.56,Loyal Customers
766,3,133,40.39,Loyal Customers
767,574,2,57.52,Lost Customers
769,59,42,39.13,Loyal Customers
770,111,28,50.72,Loyal Customers
771,12,10,47.58,Loyal Customers
778,59,19,43.27,Loyal Customers
781,207,3,38.36,Casual Customers
784,226,8,30.8,Casual Customers
786,2149,1,18.7,Casual Customers
787,53,67,42.9,Loyal Customers
789,61,121,40.02,Loyal Customers
790,164,7,53.27,Lost Customers
791,3,71,42.32,Loyal Customers
794,16,67,43.35,Loyal Customers
796,500,2,45.44,Lost Customers
797,134,16,46.56,Loyal Customers
799,617,3,45.94,Lost Customers
800,472,3,46.65,Lost Customers
801,34,27,42.79,Loyal Customers
802,40,7,18.54,Casual Customers
803,6,9,45.49,Loyal Customers
806,393,4,17.3,Casual Customers
811,200,6,43.54,Lost Customers
812,91,9,45.51,Loyal Customers
813,53,384,43.19,Loyal Customers
817,109,13,43.7,Loyal Customers
819,31,93,45.27,Loyal Customers
821,142,6,43.42,Loyal Customers
827,2,10,37.4,Loyal Customers
828,11,100,42.42,Loyal Customers
829,428,4,53.52,Lost Customers
831,13,24,42.48,Loyal Customers
832,115,2,38.58,Casual Customers
833,16,23,42.31,Loyal Customers
835,119,2,27.68,Casual Customers
836,61,6,30.11,Casual Customers
837,49,64,41.57,Loyal Customers
840,131,4,42.83,Lost Customers
844,1162,3,47.38,Lost Customers
845,53,148,42.85,Loyal Customers
848,874,4,26.64,Casual Customers
849,853,4,54.68,Lost Customers
850,2015,1,21.17,Casual Customers
852,1413,1,41.45,Casual Customers
858,415,4,27.89,Casual Customers
859,1428,1,18.34,Casual Customers
861,12,12,47.93,Loyal Customers
864,139,31,50.89,Loyal Customers
865,2,179,42.9,Loyal Customers
866,294,1,59.37,Lost Customers
869,41,15,43.23,Loyal Customers
870,129,24,49.12,Loyal Customers
871,441,1,26.09,Casual Customers
872,393,1,28.64,Casual Customers
875,100,56,45.73,Loyal Customers
876,19,122,44.26,Loyal Customers
879,272,9,44.17,Lost Customers
880,258,5,52.67,Lost Customers
884,33,44,46.48,Loyal Customers
887,382,3,41.44,Casual Customers
889,121,8,41.7,Loyal Customers
891,329,13,46.39,Lost Customers
